Size,Quality,Year,Mean,Min,Max
<40m2,einfach,bis 1918,3.35,3.35,3.35
<40m2,mittel,bis 1918,5.63,5.63,5.63
<40m2,gut,bis 1918,3.17,3.17,3.17
40–60m2,einfach,bis 1918,5.15,5.15,5.15
40–60m2,mittel,bis 1918,4.75,4.75,4.75
40–60m2,gut,bis 1918,4.31,4.31,4.31
60–90m2,einfach,bis 1918,5.13,5.13,5.13
60–90m2,mittel,bis 1918,5.24,5.24,5.24
60–90m2,gut,bis 1918,5.29,5.29,5.29
90m2+,einfach,bis 1918,5.03,5.03,5.03
90m2+,mittel,bis 1918,4.79,4.79,4.79
90m2+,gut,bis 1918,4.94,4.94,4.94
<40m2,einfach,1919–1949,3.6,3.6,3.6
<40m2,mittel,1919–1949,5.24,5.24,5.24
<40m2,gut,1919–1949,3.84,3.84,3.84
40–60m2,einfach,1919–1949,5.36,5.36,5.36
40–60m2,mittel,1919–1949,4.92,4.92,4.92
40–60m2,gut,1919–1949,4.58,4.58,4.58
60–90m2,einfach,1919–1949,5.31,5.31,5.31
60–90m2,mittel,1919–1949,5.5,5.5,5.5
60–90m2,gut,1919–1949,5.38,5.38,5.38
90m2+,einfach,1919–1949,5.31,5.31,5.31
90m2+,mittel,1919–1949,4.95,4.95,4.95
90m2+,gut,1919–1949,5.09,5.09,5.09
<40m2,einfach,1950–1955,3.45,3.45,3.45
<40m2,mittel,1950–1955,5.4,5.4,5.4
<40m2,gut,1950–1955,4.0,4.0,4.0
40–60m2,einfach,1950–1955,5.25,5.25,5.25
40–60m2,mittel,1950–1955,4.96,4.96,4.96
40–60m2,gut,1950–1955,4.42,4.42,4.42
60–90m2,einfach,1950–1955,4.78,4.78,4.78
60–90m2,mittel,1950–1955,5.35,5.35,5.35
60–90m2,gut,1950–1955,5.1,5.1,5.1
90m2+,einfach,1950–1955,4.91,4.91,4.91
90m2+,mittel,1950–1955,5.15,5.15,5.15
90m2+,gut,1950–1955,5.06,5.06,5.06
<40m2,einfach,1956–1964,3.7,3.7,3.7
<40m2,mittel,1956–1964,5.24,5.24,5.24
<40m2,gut,1956–1964,4.27,4.27,4.27
40–60m2,einfach,1956–1964,5.17,5.17,5.17
40–60m2,mittel,1956–1964,4.8,4.8,4.8
40–60m2,gut,1956–1964,4.63,4.63,4.63
60–90m2,einfach,1956–1964,4.94,4.94,4.94
60–90m2,mittel,1956–1964,5.29,5.29,5.29
60–90m2,gut,1956–1964,5.25,5.25,5.25
90m2+,einfach,1956–1964,5.34,5.34,5.34
90m2+,mittel,1956–1964,5.0,5.0,5.0
90m2+,gut,1956–1964,5.22,5.22,5.22
<40m2,einfach,1965–1972,4.0,4.0,4.0
<40m2,mittel,1965–1972,5.12,5.12,5.12
<40m2,gut,1965–1972,4.38,4.38,4.38
40–60m2,einfach,1965–1972,4.95,4.95,4.95
40–60m2,mittel,1965–1972,4.84,4.84,4.84
40–60m2,gut,1965–1972,4.62,4.62,4.62
60–90m2,einfach,1965–1972,4.84,4.84,4.84
60–90m2,mittel,1965–1972,5.06,5.06,5.06
60–90m2,gut,1965–1972,5.04,5.04,5.04
90m2+,einfach,1965–1972,5.27,5.27,5.27
90m2+,mittel,1965–1972,4.88,4.88,4.88
90m2+,gut,1965–1972,5.11,5.11,5.11
<40m2,einfach,1973–1983 West,4.32,4.32,4.32
<40m2,mittel,1973–1983 West,5.58,5.58,5.58
<40m2,gut,1973–1983 West,4.7,4.7,4.7
40–60m2,einfach,1973–1983 West,5.45,5.45,5.45
40–60m2,mittel,1973–1983 West,4.91,4.91,4.91
40–60m2,gut,1973–1983 West,4.79,4.79,4.79
60–90m2,einfach,1973–1983 West,4.93,4.93,4.93
60–90m2,mittel,1973–1983 West,5.07,5.07,5.07
60–90m2,gut,1973–1983 West,5.12,5.12,5.12
90m2+,einfach,1973–1983 West,5.35,5.35,5.35
90m2+,mittel,1973–1983 West,4.94,4.94,4.94
90m2+,gut,1973–1983 West,5.03,5.03,5.03
<40m2,einfach,1984–1990 West,4.66,4.66,4.66
<40m2,mittel,1984–1990 West,5.66,5.66,5.66
<40m2,gut,1984–1990 West,5.09,5.09,5.09
40–60m2,einfach,1984–1990 West,5.46,5.46,5.46
40–60m2,mittel,1984–1990 West,5.12,5.12,5.12
40–60m2,gut,1984–1990 West,5.06,5.06,5.06
60–90m2,einfach,1984–1990 West,5.06,5.06,5.06
60–90m2,mittel,1984–1990 West,5.14,5.14,5.14
60–90m2,gut,1984–1990 West,5.2,5.2,5.2
90m2+,einfach,1984–1990 West,5.49,5.49,5.49
90m2+,mittel,1984–1990 West,5.21,5.21,5.21
90m2+,gut,1984–1990 West,5.24,5.24,5.24
<40m2,einfach,1973–1990 Ost,4.2,4.2,4.2
<40m2,mittel,1973–1990 Ost,5.18,5.18,5.18
<40m2,gut,1973–1990 Ost,4.45,4.45,4.45
40–60m2,einfach,1973–1990 Ost,4.9,4.9,4.9
40–60m2,mittel,1973–1990 Ost,4.7,4.7,4.7
40–60m2,gut,1973–1990 Ost,4.61,4.61,4.61
60–90m2,einfach,1973–1990 Ost,4.89,4.89,4.89
60–90m2,mittel,1973–1990 Ost,4.92,4.92,4.92
60–90m2,gut,1973–1990 Ost,4.99,4.99,4.99
90m2+,einfach,1973–1990 Ost,5.12,5.12,5.12
90m2+,mittel,1973–1990 Ost,4.8,4.8,4.8
90m2+,gut,1973–1990 Ost,4.87,4.87,4.87
<40m2,einfach,1991–2005,5.1,5.1,5.1
<40m2,mittel,1991–2005,6.0,6.0,6.0
<40m2,gut,1991–2005,5.38,5.38,5.38
40–60m2,einfach,1991–2005,6.3,6.3,6.3
40–60m2,mittel,1991–2005,5.7,5.7,5.7
40–60m2,gut,1991–2005,5.59,5.59,5.59
60–90m2,einfach,1991–2005,5.59,5.59,5.59
60–90m2,mittel,1991–2005,5.75,5.75,5.75
60–90m2,gut,1991–2005,5.81,5.81,5.81
90m2+,einfach,1991–2005,6.1,6.1,6.1
90m2+,mittel,1991–2005,5.75,5.75,5.75
90m2+,gut,1991–2005,5.8,5.8,5.8
<40m2,einfach,Neubau,5.8,5.8,5.8
<40m2,mittel,Neubau,6.4,6.4,6.4
<40m2,gut,Neubau,5.9,5.9,5.9
40–60m2,einfach,Neubau,6.55,6.55,6.55
40–60m2,mittel,Neubau,6.3,6.3,6.3
40–60m2,gut,Neubau,6.25,6.25,6.25
60–90m2,einfach,Neubau,6.2,6.2,6.2
60–90m2,mittel,Neubau,6.35,6.35,6.35
60–90m2,gut,Neubau,6.4,6.4,6.4
90m2+,einfach,Neubau,6.7,6.7,6.7
90m2+,mittel,Neubau,6.35,6.35,6.35
90m2+,gut,Neubau,6.38,6.38,6.38
