Size,Quality,Year,Mean,Min,Max
<40m2,einfach,bis 1918,5.57,4.39,7.06
<40m2,mittel,bis 1918,5.31,4.82,5.86
<40m2,gut,bis 1918,5.82,4.3,7.45
40–60m2,einfach,bis 1918,5.51,4.87,6.2
40–60m2,mittel,bis 1918,6.17,5.46,7.64
40–60m2,gut,bis 1918,6.07,5.29,7.45
60–90m2,einfach,bis 1918,5.19,4.11,6.75
60–90m2,mittel,bis 1918,5.22,4.7,5.86
60–90m2,gut,bis 1918,5.67,4.56,7.0
90m2+,einfach,bis 1918,5.28,4.57,6.1
90m2+,mittel,bis 1918,6.03,4.97,7.51
90m2+,gut,bis 1918,6.08,5.25,7.1
<40m2,einfach,1919–1949,5.17,4.0,6.62
<40m2,mittel,1919–1949,5.48,4.29,6.93
<40m2,gut,1919–1949,5.3,4.25,7.0
40–60m2,einfach,1919–1949,5.33,4.79,6.3
40–60m2,mittel,1919–1949,5.77,4.36,7.67
40–60m2,gut,1919–1949,5.56,4.73,6.75
60–90m2,einfach,1919–1949,6.19,5.43,7.6
60–90m2,mittel,1919–1949,6.55,6.0,7.0
60–90m2,gut,1919–1949,6.35,6.01,6.72
90m2+,einfach,1919–1949,6.66,5.06,8.15
90m2+,mittel,1919–1949,6.81,4.86,8.16
90m2+,gut,1919–1949,6.87,5.07,8.42
<40m2,einfach,1950–1964,5.52,4.74,6.7
<40m2,mittel,1950–1964,5.72,5.01,6.5
<40m2,gut,1950–1964,6.45,5.0,7.8
40–60m2,einfach,1950–1964,5.19,4.65,5.85
40–60m2,mittel,1950–1964,5.28,4.73,5.85
40–60m2,gut,1950–1964,5.53,4.69,7.1
60–90m2,einfach,1950–1964,4.73,4.22,5.33
60–90m2,mittel,1950–1964,5.23,4.75,5.88
60–90m2,gut,1950–1964,5.58,4.75,6.71
90m2+,einfach,1950–1964,5.45,4.64,5.96
90m2+,mittel,1950–1964,6.55,4.68,7.94
90m2+,gut,1950–1964,5.86,4.85,7.3
<40m2,einfach,1965–1972,6.09,5.4,7.02
<40m2,mittel,1965–1972,7.7,5.56,8.95
<40m2,gut,1965–1972,4.92,4.3,5.94
40–60m2,einfach,1965–1972,5.28,4.7,6.0
40–60m2,mittel,1965–1972,6.03,4.98,7.41
40–60m2,gut,1965–1972,4.5,4.19,5.06
60–90m2,einfach,1965–1972,5.01,4.3,5.5
60–90m2,mittel,1965–1972,4.28,3.7,5.04
60–90m2,gut,1965–1972,4.88,4.25,5.26
90m2+,einfach,1965–1972,6.07,4.64,7.5
90m2+,mittel,1965–1972,7.18,5.3,8.5
90m2+,gut,1965–1972,6.33,5.25,7.32
<40m2,einfach,1973–1990 West,6.46,5.53,7.0
<40m2,mittel,1973–1990 West,7.41,6.25,8.18
<40m2,gut,1973–1990 West,5.88,5.1,6.0
40–60m2,einfach,1973–1990 West,7.74,6.91,8.44
40–60m2,mittel,1973–1990 West,5.63,5.3,6.2
40–60m2,gut,1973–1990 West,6.1,5.54,6.6
60–90m2,einfach,1973–1990 West,6.64,5.64,7.5
60–90m2,mittel,1973–1990 West,7.92,6.88,9.45
60–90m2,gut,1973–1990 West,6.13,5.08,7.25
90m2+,einfach,1973–1990 West,6.39,5.8,7.0
90m2+,mittel,1973–1990 West,7.87,5.84,8.46
90m2+,gut,1973–1990 West,5.27,4.68,5.87
<40m2,einfach,1973–1990 Ost,5.35,5.0,5.78
<40m2,mittel,1973–1990 Ost,6.64,5.38,7.03
<40m2,gut,1973–1990 Ost,4.62,4.16,5.22
40–60m2,einfach,1973–1990 Ost,4.75,4.28,5.14
40–60m2,mittel,1973–1990 Ost,4.56,3.92,5.09
40–60m2,gut,1973–1990 Ost,4.64,3.95,5.09
60–90m2,einfach,1973–1990 Ost,5.34,4.76,6.66
60–90m2,mittel,1973–1990 Ost,5.38,4.78,6.14
60–90m2,gut,1973–1990 Ost,6.97,5.08,8.96
90m2+,einfach,1973–1990 Ost,7.1,6.3,7.86
90m2+,mittel,1973–1990 Ost,7.93,6.83,9.0
90m2+,gut,1973–1990 Ost,6.58,5.43,7.72
<40m2,einfach,1991–2002,6.87,6.04,7.59
<40m2,mittel,1991–2002,6.7,6.01,7.42
<40m2,gut,1991–2002,6.93,5.75,8.28
40–60m2,einfach,1991–2002,7.77,6.4,9.01
40–60m2,mittel,1991–2002,8.57,6.97,10.55
