Size,Quality,Year,Mean,Min,Max
<40m2,einfach,bis 1918,3.16,3.16,3.16
<40m2,mittel,bis 1918,3.25,3.25,3.25
<40m2,gut,bis 1918,5.05,5.05,5.05
40–60m2,einfach,bis 1918,2.99,2.99,2.99
40–60m2,mittel,bis 1918,3.04,3.04,3.04
40–60m2,gut,bis 1918,2.92,2.92,2.92
60–90m2,einfach,bis 1918,2.95,2.95,2.95
60–90m2,mittel,bis 1918,3.05,3.05,3.05
60–90m2,gut,bis 1918,3.06,3.06,3.06
90m2+,einfach,bis 1918,2.8,2.8,2.8
90m2+,mittel,bis 1918,3.15,3.15,3.15
90m2+,gut,bis 1918,3.0,3.0,3.0
<40m2,einfach,1919–1949,3.32,3.32,3.32
<40m2,mittel,1919–1949,3.5,3.5,3.5
<40m2,gut,1919–1949,5.15,5.15,5.15
40–60m2,einfach,1919–1949,3.1,3.1,3.1
40–60m2,mittel,1919–1949,3.2,3.2,3.2
40–60m2,gut,1919–1949,3.05,3.05,3.05
60–90m2,einfach,1919–1949,3.25,3.25,3.25
60–90m2,mittel,1919–1949,3.4,3.4,3.4
60–90m2,gut,1919–1949,3.38,3.38,3.38
90m2+,einfach,1919–1949,3.02,3.02,3.02
90m2+,mittel,1919–1949,3.3,3.3,3.3
90m2+,gut,1919–1949,3.1,3.1,3.1
<40m2,einfach,1950–1955,3.4,3.4,3.4
<40m2,mittel,1950–1955,3.55,3.55,3.55
<40m2,gut,1950–1955,5.0,5.0,5.0
40–60m2,einfach,1950–1955,3.15,3.15,3.15
40–60m2,mittel,1950–1955,3.25,3.25,3.25
40–60m2,gut,1950–1955,3.1,3.1,3.1
60–90m2,einfach,1950–1955,3.2,3.2,3.2
60–90m2,mittel,1950–1955,3.35,3.35,3.35
60–90m2,gut,1950–1955,3.3,3.3,3.3
90m2+,einfach,1950–1955,2.9,2.9,2.9
90m2+,mittel,1950–1955,3.2,3.2,3.2
90m2+,gut,1950–1955,3.0,3.0,3.0
<40m2,einfach,1956–1964,3.5,3.5,3.5
<40m2,mittel,1956–1964,3.7,3.7,3.7
<40m2,gut,1956–1964,5.1,5.1,5.1
40–60m2,einfach,1956–1964,3.25,3.25,3.25
40–60m2,mittel,1956–1964,3.35,3.35,3.35
40–60m2,gut,1956–1964,3.2,3.2,3.2
60–90m2,einfach,1956–1964,3.3,3.3,3.3
60–90m2,mittel,1956–1964,3.45,3.45,3.45
60–90m2,gut,1956–1964,3.4,3.4,3.4
90m2+,einfach,1956–1964,3.0,3.0,3.0
90m2+,mittel,1956–1964,3.3,3.3,3.3
90m2+,gut,1956–1964,3.1,3.1,3.1
<40m2,einfach,1965–1972,3.6,3.6,3.6
<40m2,mittel,1965–1972,3.8,3.8,3.8
<40m2,gut,1965–1972,5.2,5.2,5.2
40–60m2,einfach,1965–1972,3.35,3.35,3.35
40–60m2,mittel,1965–1972,3.45,3.45,3.45
40–60m2,gut,1965–1972,3.3,3.3,3.3
60–90m2,einfach,1965–1972,3.4,3.4,3.4
60–90m2,mittel,1965–1972,3.55,3.55,3.55
60–90m2,gut,1965–1972,3.5,3.5,3.5
90m2+,einfach,1965–1972,3.1,3.1,3.1
90m2+,mittel,1965–1972,3.4,3.4,3.4
90m2+,gut,1965–1972,3.2,3.2,3.2
<40m2,einfach,1973–1983 West,3.7,3.7,3.7
<40m2,mittel,1973–1983 West,3.9,3.9,3.9
<40m2,gut,1973–1983 West,5.3,5.3,5.3
40–60m2,einfach,1973–1983 West,3.45,3.45,3.45
40–60m2,mittel,1973–1983 West,3.55,3.55,3.55
40–60m2,gut,1973–1983 West,3.4,3.4,3.4
60–90m2,einfach,1973–1983 West,3.5,3.5,3.5
60–90m2,mittel,1973–1983 West,3.65,3.65,3.65
60–90m2,gut,1973–1983 West,3.6,3.6,3.6
90m2+,einfach,1973–1983 West,3.2,3.2,3.2
90m2+,mittel,1973–1983 West,3.5,3.5,3.5
90m2+,gut,1973–1983 West,3.3,3.3,3.3
<40m2,einfach,1984–1990 West,3.8,3.8,3.8
<40m2,mittel,1984–1990 West,4.0,4.0,4.0
<40m2,gut,1984–1990 West,5.4,5.4,5.4
40–60m2,einfach,1984–1990 West,3.55,3.55,3.55
40–60m2,mittel,1984–1990 West,3.65,3.65,3.65
40–60m2,gut,1984–1990 West,3.5,3.5,3.5
60–90m2,einfach,1984–1990 West,3.6,3.6,3.6
60–90m2,mittel,1984–1990 West,3.75,3.75,3.75
60–90m2,gut,1984–1990 West,3.7,3.7,3.7
90m2+,einfach,1984–1990 West,3.3,3.3,3.3
90m2+,mittel,1984–1990 West,3.6,3.6,3.6
90m2+,gut,1984–1990 West,3.4,3.4,3.4
<40m2,einfach,1973–1990 Ost,3.9,3.9,3.9
<40m2,mittel,1973–1990 Ost,4.1,4.1,4.1
<40m2,gut,1973–1990 Ost,5.5,5.5,5.5
40–60m2,einfach,1973–1990 Ost,3.65,3.65,3.65
40–60m2,mittel,1973–1990 Ost,3.75,3.75,3.75
40–60m2,gut,1973–1990 Ost,3.6,3.6,3.6
60–90m2,einfach,1973–1990 Ost,3.7,3.7,3.7
60–90m2,mittel,1973–1990 Ost,3.85,3.85,3.85
60–90m2,gut,1973–1990 Ost,3.8,3.8,3.8
90m2+,einfach,1973–1990 Ost,3.4,3.4,3.4
90m2+,mittel,1973–1990 Ost,3.7,3.7,3.7
90m2+,gut,1973–1990 Ost,3.5,3.5,3.5
<40m2,einfach,1991–2003,4.0,4.0,4.0
<40m2,mittel,1991–2003,4.2,4.2,4.2
<40m2,gut,1991–2003,5.6,5.6,5.6
40–60m2,einfach,1991–2003,3.75,3.75,3.75
40–60m2,mittel,1991–2003,3.85,3.85,3.85
40–60m2,gut,1991–2003,3.7,3.7,3.7
60–90m2,einfach,1991–2003,3.8,3.8,3.8
60–90m2,mittel,1991–2003,3.95,3.95,3.95
60–90m2,gut,1991–2003,3.9,3.9,3.9
90m2+,einfach,1991–2003,3.5,3.5,3.5
90m2+,mittel,1991–2003,3.8,3.8,3.8
90m2+,gut,1991–2003,3.6,3.6,3.6
<40m2,einfach,Neubau,4.1,4.1,4.1
<40m2,mittel,Neubau,4.3,4.3,4.3
<40m2,gut,Neubau,5.7,5.7,5.7
40–60m2,einfach,Neubau,3.85,3.85,3.85
40–60m2,mittel,Neubau,3.95,3.95,3.95
40–60m2,gut,Neubau,3.8,3.8,3.8
60–90m2,einfach,Neubau,3.9,3.9,3.9
60–90m2,mittel,Neubau,4.05,4.05,4.05
60–90m2,gut,Neubau,4.0,4.0,4.0
90m2+,einfach,Neubau,3.6,3.6,3.6
90m2+,mittel,Neubau,3.9,3.9,3.9
90m2+,gut,Neubau,3.7,3.7,3.7
