,Size,Quality,Year,Mean,Min,Max
0,<40 m²,einfach,bis 1918,7.45,5.44,10.0
1,<40 m²,einfach,1919–1949,6.45,5.6,7.17
2,<40 m²,einfach,1950–1964,6.17,5.18,8.8
3,<40 m²,einfach,1965–1972,6.58,5.78,7.74
4,<40 m²,einfach,1973–1990 West,7.68,5.33,8.15
5,<40 m²,einfach,1973–1990 Ost,6.81,6.13,7.63
6,<40 m²,einfach,1991–2002,7.5,7.5,9.51
7,<40 m²,mittel,bis 1918,8.01,5.25,10.11
8,<40 m²,mittel,1919–1949,7.37,6.82,8.4
9,<40 m²,mittel,1950–1964,6.64,5.89,8.0
10,<40 m²,mittel,1965–1972,6.57,5.71,8.36
11,<40 m²,mittel,1973–1990 West,8.08,7.18,12.0
12,<40 m²,mittel,1973–1990 Ost,6.77,6.4,7.94
13,<40 m²,mittel,2003–2015,14.19,13.85,15.72
14,<40 m²,gut,bis 1918,8.31,6.91,12.52
15,<40 m²,gut,1919–1949,7.04,6.04,10.0
16,<40 m²,gut,1950–1964,7.48,5.87,10.2
17,<40 m²,gut,1965–1972,8.83,7.7,9.84
18,<40 m²,gut,1973–1990 West,8.59,6.93,10.11
19,<40 m²,gut,1973–1990 Ost,8.04,7.09,9.14
0,40–60 m²,einfach,bis 1918,6.51,4.81,9.22
1,40–60 m²,einfach,1919–1949,5.93,5.3,8.09
2,40–60 m²,einfach,1950–1964,5.71,5.16,7.29
3,40–60 m²,einfach,1965–1972,5.75,5.13,7.01
4,40–60 m²,einfach,1973–1990 West,6.77,5.8,8.43
5,40–60 m²,einfach,1973–1990 Ost,5.61,5.3,6.67
6,40–60 m²,einfach,1991–2002,7.43,6.21,9.17
7,40–60 m²,einfach,2003–2015,8.5,6.9,12.5
8,40–60 m²,mittel,bis 1918,6.61,5.11,10.06
9,40–60 m²,mittel,1919–1949,6.34,5.52,7.65
10,40–60 m²,mittel,1950–1964,6.11,5.43,7.48
11,40–60 m²,mittel,1965–1972,5.72,5.39,7.2
12,40–60 m²,mittel,1973–1990 West,7.39,6.65,7.97
13,40–60 m²,mittel,1973–1990 Ost,5.83,5.37,6.75
14,40–60 m²,mittel,1991–2002,8.18,6.84,9.37
15,40–60 m²,mittel,2003–2015,10.1,8.4,13.94
16,40–60 m²,gut,bis 1918,7.03,5.81,8.75
17,40–60 m²,gut,1919–1949,6.88,5.71,8.88
18,40–60 m²,gut,1950–1964,6.66,5.18,8.98
19,40–60 m²,gut,1965–1972,7.39,6.17,9.0
20,40–60 m²,gut,1973–1990 West,8.0,7.3,9.12
21,40–60 m²,gut,1973–1990 Ost,6.84,6.11,8.29
22,40–60 m²,gut,1991–2002,9.0,7.48,10.34
23,40–60 m²,gut,2003–2015,9.44,8.0,11.3
24,60–90 m²,einfach,bis 1918,6.0,4.4,8.62
25,60–90 m²,einfach,1919–1949,5.65,4.9,7.56
26,60–90 m²,einfach,1950–1964,5.48,4.74,6.68
27,60–90 m²,einfach,1965–1972,5.22,4.76,6.3
28,60–90 m²,einfach,1973–1990 West,6.12,5.08,7.59
29,60–90 m²,einfach,1973–1990 Ost,5.07,4.72,5.71
30,60–90 m²,einfach,1991–2002,7.1,5.76,8.23
31,60–90 m²,einfach,2003–2015,10.13,6.9,12.99
32,60–90 m²,mittel,bis 1918,6.78,4.75,10.27
33,60–90 m²,mittel,1919–1949,6.09,5.18,7.62
34,60–90 m²,mittel,1950–1964,6.0,5.18,7.28
35,60–90 m²,mittel,1965–1972,5.49,5.05,6.59
36,60–90 m²,mittel,1973–1990 West,7.5,6.16,8.76
37,60–90 m²,mittel,1973–1990 Ost,5.11,4.68,5.78
38,60–90 m²,mittel,1991–2002,7.59,6.52,8.96
39,60–90 m²,mittel,2003–2015,10.31,8.61,13.93
40,60–90 m²,gut,bis 1918,7.32,5.81,10.0
41,60–90 m²,gut,1919–1949,7.1,5.52,9.2
42,60–90 m²,gut,1950–1964,6.81,5.58,8.82
43,60–90 m²,gut,1965–1972,6.9,6.09,8.59
44,60–90 m²,gut,1973–1990 West,8.24,7.07,9.69
45,60–90 m²,gut,1973–1990 Ost,6.0,5.37,7.0
46,60–90 m²,gut,1991–2002,8.77,7.31,10.54
47,60–90 m²,gut,2003–2015,9.01,8.44,11.07
48,90+ m²,einfach,bis 1918,5.72,4.22,8.41
49,90+ m²,einfach,1919–1949,5.8,4.29,7.51
50,90+ m²,einfach,1950–1964,4.87,4.29,6.6
51,90+ m²,einfach,1965–1972,5.29,4.8,6.14
52,90+ m²,einfach,1973–1990 West,6.49,5.39,8.05
53,90+ m²,einfach,1973–1990 Ost,4.7,4.24,5.6
54,90+ m²,einfach,1991–2002,7.18,5.95,8.47
55,90+ m²,einfach,2003–2015,10.7,8.6,13.56
56,90+ m²,mittel,bis 1918,6.39,4.38,10.18
57,90+ m²,mittel,1919–1949,5.63,4.97,7.1
58,90+ m²,mittel,1950–1964,6.46,5.77,8.03
59,90+ m²,mittel,1965–1972,5.53,4.91,7.5
60,90+ m²,mittel,1973–1990 West,7.48,5.17,8.8
61,90+ m²,mittel,1973–1990 Ost,5.11,4.76,5.6
62,90+ m²,mittel,1991–2002,8.0,6.3,9.27
63,90+ m²,mittel,2003–2015,10.19,8.69,13.1
64,90+ m²,gut,bis 1918,7.25,5.44,10.0
65,90+ m²,gut,1919–1949,6.65,5.35,9.5
66,90+ m²,gut,1950–1964,8.26,6.77,9.61
67,90+ m²,gut,1965–1972,8.05,6.99,8.54
68,90+ m²,gut,1973–1990 West,8.83,7.6,10.49
69,90+ m²,gut,1973–1990 Ost,5.63,5.24,6.92
70,90+ m²,gut,1991–2002,9.24,7.18,11.13
71,90+ m²,gut,2003–2015,10.0,8.4,12.5
