,Size,Quality,Year,Mean,Min,Max
0,<40 m2,einfach,bis 1918,8.42,5.86,13.82
1,<40 m2,einfach,1919–1949,8.32,6.4,9.25
2,<40 m2,einfach,1950–1964,6.85,5.9,9.62
3,<40 m2,einfach,1965–1972,7.24,6.39,9.41
4,<40 m2,einfach,1973–1990 West,8.06,7.92,9.43
5,<40 m2,einfach,1973–1990 Ost,7.61,7.3,8.5
6,<40 m2,mittel,bis 1918,8.98,7.16,13.04
7,<40 m2,mittel,1919–1949,8.16,6.86,9.11
8,<40 m2,mittel,1950–1964,7.3,6.02,9.64
9,<40 m2,mittel,1965–1972,7.0,6.27,8.78
10,<40 m2,mittel,1973–1990 West,8.24,5.68,8.7
11,<40 m2,mittel,1973–1990 Ost,7.39,6.87,7.7
12,<40 m2,gut,bis 1918,12.19,6.97,15.17
13,<40 m2,gut,1919–1949,7.99,6.86,10.1
14,<40 m2,gut,1950–1964,7.96,6.78,9.92
15,<40 m2,gut,1965–1972,9.49,8.68,10.39
16,<40 m2,gut,1973–1990 West,8.85,7.96,10.75
17,<40 m2,gut,1973–1990 Ost,7.6,7.14,9.31
18,40–60 m2,einfach,bis 1918,7.19,5.61,10.59
19,40–60 m2,einfach,1919–1949,6.82,5.78,8.73
20,40–60 m2,einfach,1950–1964,6.4,5.73,8.53
21,40–60 m2,einfach,1965–1972,6.26,5.39,7.47
22,40–60 m2,einfach,1973–1990 West,7.95,6.61,9.22
23,40–60 m2,einfach,1973–1990 Ost,6.41,6.09,6.98
24,40–60 m2,einfach,1991–2002,8.91,8.21,10.87
25,40–60 m2,einfach,2003–2017,12.37,10.34,16.11
26,40–60 m2,mittel,bis 1918,7.92,5.77,10.92
27,40–60 m2,mittel,1919–1949,7.18,6.0,8.27
28,40–60 m2,mittel,1950–1964,6.51,5.74,8.14
29,40–60 m2,mittel,1965–1972,6.38,5.79,7.4
30,40–60 m2,mittel,1973–1990 West,8.24,6.78,9.35
31,40–60 m2,mittel,1973–1990 Ost,6.35,5.75,7.14
32,40–60 m2,mittel,1991–2002,8.72,7.92,9.77
33,40–60 m2,mittel,2003–2017,10.5,7.76,13.32
34,40–60 m2,gut,bis 1918,8.57,6.39,11.69
35,40–60 m2,gut,1919–1949,7.36,6.41,9.74
36,40–60 m2,gut,1950–1964,6.95,6.02,8.37
37,40–60 m2,gut,1965–1972,7.6,5.64,10.66
38,40–60 m2,gut,1973–1990 West,8.97,7.86,9.82
39,40–60 m2,gut,1973–1990 Ost,6.41,6.21,7.42
40,40–60 m2,gut,1991–2002,10.39,8.67,11.85
41,40–60 m2,gut,2003–2017,10.53,8.26,12.76
0,60–90 m²,einfach,bis 1918,6.75,5.14,10.66
1,60–90 m²,einfach,1919–1949,6.25,5.4,7.75
2,60–90 m²,einfach,1950–1964,5.94,5.14,7.25
3,60–90 m²,einfach,1965–1972,5.81,5.21,6.48
4,60–90 m²,einfach,1973–1990 West,7.75,6.48,9.59
5,60–90 m²,einfach,1973–1990 Ost,5.62,5.31,6.1
6,60–90 m²,einfach,1991–2002,8.22,6.64,9.15
7,60–90 m²,einfach,2003–2017,13.73,9.04,15.8
8,60–90 m²,mittel,bis 1918,7.21,5.15,10.66
9,60–90 m²,mittel,1919–1949,6.65,5.43,7.8
10,60–90 m²,mittel,1950–1964,6.4,5.63,7.55
11,60–90 m²,mittel,1965–1972,6.08,5.42,6.82
12,60–90 m²,mittel,1973–1990 West,8.53,6.07,9.71
13,60–90 m²,mittel,1973–1990 Ost,5.62,4.9,6.13
14,60–90 m²,mittel,1991–2002,8.42,7.17,9.62
15,60–90 m²,mittel,2003–2017,10.75,9.5,13.0
16,60–90 m²,gut,bis 1918,7.98,5.99,11.64
17,60–90 m²,gut,1919–1949,7.57,6.3,9.75
18,60–90 m²,gut,1950–1964,6.97,5.86,8.92
19,60–90 m²,gut,1965–1972,7.08,5.54,8.85
20,60–90 m²,gut,1973–1990 West,8.86,7.04,10.49
21,60–90 m²,gut,1973–1990 Ost,5.93,5.45,6.7
22,60–90 m²,gut,1991–2002,9.69,7.94,11.74
23,60–90 m²,gut,2003–2017,10.89,9.42,13.59
24,90+ m²,einfach,bis 1918,6.64,5.1,9.74
25,90+ m²,einfach,1919–1949,6.53,5.48,7.63
26,90+ m²,einfach,1950–1964,5.83,5.21,6.45
27,90+ m²,einfach,1965–1972,7.66,6.21,8.82
28,90+ m²,einfach,1973–1990 West,5.58,5.09,5.84
29,90+ m²,einfach,1991–2002,8.48,7.07,9.93
30,90+ m²,einfach,2003–2017,12.73,9.07,14.67
31,90+ m²,mittel,bis 1918,7.21,5.2,10.45
32,90+ m²,mittel,1919–1949,6.41,5.44,9.06
33,90+ m²,mittel,1950–1964,7.21,5.99,12.16
34,90+ m²,mittel,1965–1972,5.75,5.4,6.55
35,90+ m²,mittel,1973–1990 West,8.14,6.37,9.23
36,90+ m²,mittel,1973–1990 Ost,5.6,4.91,5.92
37,90+ m²,mittel,1991–2002,8.73,7.68,10.16
38,90+ m²,mittel,2003–2017,10.74,9.38,13.56
39,90+ m²,gut,bis 1918,7.81,5.84,11.17
40,90+ m²,gut,1919–1949,7.13,6.06,9.52
41,90+ m²,gut,1950–1964,8.77,7.13,9.91
42,90+ m²,gut,1965–1972,8.84,8.03,9.48
43,90+ m²,gut,1973–1990 West,9.59,7.53,12.72
44,90+ m²,gut,1973–1990 Ost,5.67,5.42,6.32
45,90+ m²,gut,1991–2002,10.45,8.71,12.47
46,90+ m²,gut,2003–2017,12.26,9.95,14.59
